item_id,item_name,item_type,parent_id,quantity,lead_time,cost,supplier,inventory,min_stock,assembly_time,distributor,transport_method,transport_cost,transport_time,timestamp
CP017,Component CP017,component,SS014,5,42,126795,Supplier_029,17,5,64,Distributor_003,Truck,1786,28,2016-09-06 12:41:04
SC011,Subcomponent SC011,subcomponent,CP017,2,15,8227,Supplier_007,21,5,48,Distributor_011,Sea Freight,243,20,2017-02-17 12:54:44
RM007,Raw_material RM007,raw_material,CP017,5,3,3919,Supplier_042,98,2,46,Distributor_008,Air Freight,6478,18,2010-08-05 10:15:23
SY006,System SY006,system,FP018,4,105,4848641,Supplier_013,4,3,15,Distributor_005,Truck,3103,16,2010-08-01 05:19:57
SS018,Subsystem SS018,subsystem,SY017,3,40,650601,Supplier_003,9,4,27,Distributor_010,Air Freight,7375,27,2020-10-16 06:17:11
CP017,Component CP017,component,SS020,4,34,350015,Supplier_006,10,1,37,Distributor_014,Sea Freight,1510,18,2017-04-10 12:57:20
SC018,Subcomponent SC018,subcomponent,CP007,2,7,46098,Supplier_016,43,2,7,Distributor_011,Air Freight,2979,21,2016-03-21 01:34:59
SC020,Subcomponent SC020,subcomponent,CP002,4,8,11993,Supplier_008,49,3,68,Distributor_012,Sea Freight,9583,3,2014-12-11 11:38:23
RM010,Raw_material RM010,raw_material,CP002,4,9,1494,Supplier_020,110,5,56,Distributor_003,Truck,5206,7,2016-08-03 02:53:39
SC010,Subcomponent SC010,subcomponent,CP018,4,9,37602,Supplier_043,19,2,37,Distributor_007,Rail,1099,23,2015-11-23 01:25:17
RM008,Raw_material RM008,raw_material,CP018,1,9,1231,Supplier_004,100,3,9,Distributor_012,Sea Freight,1053,17,2012-07-27 20:59:54
SC001,Subcomponent SC001,subcomponent,CP017,3,12,30933,Supplier_020,50,2,20,Distributor_005,Air Freight,9627,21,2013-11-26 16:03:52
CP012,Component CP012,component,SS014,1,14,274052,Supplier_035,26,2,23,Distributor_014,Truck,3321,29,2013-09-05 09:02:10
SC004,Subcomponent SC004,subcomponent,CP010,4,10,40439,Supplier_038,28,5,19,Distributor_013,Sea Freight,7011,3,2011-08-03 19:08:02
SC014,Subcomponent SC014,subcomponent,CP005,1,14,35025,Supplier_015,25,5,5,Distributor_014,Rail,8093,21,2012-12-16 00:35:44
RM007,Raw_material RM007,raw_material,CP005,5,8,2282,Supplier_022,68,5,46,Distributor_005,Air Freight,6205,13,2019-04-01 17:39:25
SC019,Subcomponent SC019,subcomponent,CP012,5,6,25037,Supplier_026,40,4,65,Distributor_004,Truck,1800,8,2019-06-16 00:15:32
CP013,Component CP013,component,SS020,2,43,114264,Supplier_033,22,2,10,Distributor_009,Air Freight,1292,24,2020-03-09 16:56:07
SC016,Subcomponent SC016,subcomponent,CP014,4,19,46365,Supplier_036,47,3,5,Distributor_014,Truck,7114,28,2012-12-17 13:09:53
SC018,Subcomponent SC018,subcomponent,CP013,3,20,37948,Supplier_036,30,3,4,Distributor_012,Truck,5866,26,2010-08-05 18:15:40
CP012,Component CP012,component,SS018,5,37,478327,Supplier_026,36,1,15,Distributor_013,Truck,1364,25,2016-11-27 12:31:24
SC011,Subcomponent SC011,subcomponent,CP012,2,13,25404,Supplier_014,35,5,6,Distributor_002,Air Freight,343,6,2018-03-22 12:32:29
SS008,Subsystem SS008,subsystem,SY016,3,34,2181716,Supplier_013,15,3,22,Distributor_001,Air Freight,1077,8,2011-01-05 13:11:47
CP007,Component CP007,component,SS020,4,22,101653,Supplier_031,20,2,61,Distributor_011,Sea Freight,4632,11,2011-11-26 06:57:12
SC004,Subcomponent SC004,subcomponent,CP003,2,11,30130,Supplier_041,17,4,55,Distributor_013,Sea Freight,5492,28,2012-11-09 22:45:14
RM015,Raw_material RM015,raw_material,CP003,3,5,2345,Supplier_007,59,3,59,Distributor_006,Sea Freight,5821,4,2011-07-23 16:59:53
SC018,Subcomponent SC018,subcomponent,CP007,3,18,23901,Supplier_011,20,1,25,Distributor_005,Truck,8544,22,2013-02-10 14:00:49
CP006,Component CP006,component,SS014,3,39,243241,Supplier_019,17,4,2,Distributor_014,Rail,6651,11,2018-06-19 16:55:13
SC014,Subcomponent SC014,subcomponent,CP013,4,20,36044,Supplier_032,37,3,62,Distributor_014,Air Freight,6900,12,2011-01-26 21:21:35
RM010,Raw_material RM010,raw_material,CP013,2,4,4766,Supplier_032,73,2,56,Distributor_008,Rail,7395,14,2014-03-30 08:40:47
SC011,Subcomponent SC011,subcomponent,CP006,1,5,4532,Supplier_029,21,4,56,Distributor_012,Truck,7289,14,2021-02-26 07:30:22
CP005,Component CP005,component,SS008,1,29,400415,Supplier_010,16,2,32,Distributor_001,Truck,7697,15,2021-04-30 23:29:30
SC007,Subcomponent SC007,subcomponent,CP005,4,8,52928,Supplier_034,30,4,25,Distributor_001,Sea Freight,5514,30,2020-08-07 14:02:02
SS013,Subsystem SS013,subsystem,SY012,4,68,1206220,Supplier_044,5,4,67,Distributor_002,Rail,820,3,2014-12-22 23:24:12
CP006,Component CP006,component,SS005,5,47,299639,Supplier_032,13,1,8,Distributor_001,Rail,3245,28,2010-10-30 05:09:13
SC019,Subcomponent SC019,subcomponent,CP017,5,10,24315,Supplier_041,33,1,6,Distributor_010,Truck,7232,1,2014-06-16 16:54:50
SC019,Subcomponent SC019,subcomponent,CP006,2,10,16566,Supplier_010,35,2,48,Distributor_013,Rail,7457,3,2012-10-22 06:15:10
CP003,Component CP003,component,SS013,4,35,257749,Supplier_035,12,1,35,Distributor_012,Air Freight,3749,6,2019-09-16 12:06:51
SC014,Subcomponent SC014,subcomponent,CP003,5,14,5741,Supplier_007,53,2,26,Distributor_014,Air Freight,122,13,2016-01-05 21:49:32
SS010,Subsystem SS010,subsystem,SY006,4,33,1775348,Supplier_043,3,3,47,Distributor_002,Truck,3183,18,2010-04-26 23:41:55
CP004,Component CP004,component,SS010,4,19,147385,Supplier_038,22,3,60,Distributor_003,Rail,8174,10,2020-02-18 11:47:27
SC002,Subcomponent SC002,subcomponent,CP004,4,21,37218,Supplier_009,37,4,13,Distributor_001,Truck,3670,25,2011-09-06 20:09:06
SS001,Subsystem SS001,subsystem,SY002,2,78,1159023,Supplier_030,7,5,5,Distributor_002,Rail,3902,5,2020-05-14 19:32:51
CP007,Component CP007,component,SS007,5,24,289503,Supplier_003,9,4,18,Distributor_008,Sea Freight,8050,18,2011-06-14 06:12:11
RM016,Raw_material RM016,raw_material,CP008,4,4,4517,Supplier_040,88,1,44,Distributor_006,Truck,953,23,2010-02-14 04:27:26
SC002,Subcomponent SC002,subcomponent,CP002,5,14,25344,Supplier_004,20,3,34,Distributor_008,Rail,5065,19,2010-12-09 12:33:58
SC017,Subcomponent SC017,subcomponent,CP019,1,13,31525,Supplier_006,38,2,56,Distributor_002,Sea Freight,9470,17,2021-06-12 01:05:25
SC016,Subcomponent SC016,subcomponent,CP007,3,12,18798,Supplier_017,43,4,67,Distributor_012,Sea Freight,8620,20,2018-03-02 02:13:57
CP012,Component CP012,component,SS009,4,18,298423,Supplier_016,26,2,18,Distributor_009,Air Freight,143,21,2019-12-31 20:47:36
SC014,Subcomponent SC014,subcomponent,CP003,5,12,46663,Supplier_011,21,5,29,Distributor_006,Air Freight,9467,25,2019-06-24 12:30:43
RM008,Raw_material RM008,raw_material,CP003,1,2,2427,Supplier_028,71,1,38,Distributor_002,Truck,6691,29,2013-01-31 00:58:29
SC014,Subcomponent SC014,subcomponent,CP018,2,6,58762,Supplier_008,25,5,63,Distributor_009,Air Freight,1516,30,2015-10-04 17:06:48
SC015,Subcomponent SC015,subcomponent,CP012,4,11,7341,Supplier_023,29,3,14,Distributor_009,Truck,9808,19,2017-06-11 18:23:58
CP003,Component CP003,component,SS016,2,13,367156,Supplier_018,28,1,26,Distributor_011,Sea Freight,6130,2,2019-08-12 02:29:48
SC017,Subcomponent SC017,subcomponent,CP009,2,13,42088,Supplier_012,28,4,33,Distributor_010,Truck,7929,11,2019-05-19 15:16:39
SC020,Subcomponent SC020,subcomponent,CP003,5,14,44871,Supplier_033,38,4,31,Distributor_014,Truck,3565,23,2021-02-14 15:33:37
CP008,Component CP008,component,SS001,2,19,333762,Supplier_037,26,5,33,Distributor_012,Rail,1525,14,2013-09-27 00:08:06
SC019,Subcomponent SC019,subcomponent,CP008,3,14,18214,Supplier_035,31,5,36,Distributor_013,Truck,211,19,2010-12-23 13:40:14
SS004,Subsystem SS004,subsystem,SY007,4,56,1650545,Supplier_029,9,4,25,Distributor_005,Sea Freight,7889,9,2021-12-13 20:53:50
CP016,Component CP016,component,SS013,2,27,290888,Supplier_022,24,5,70,Distributor_002,Air Freight,7535,21,2020-04-25 06:58:44
SC004,Subcomponent SC004,subcomponent,CP016,5,17,19058,Supplier_003,59,3,5,Distributor_011,Rail,6021,25,2018-06-13 02:20:44
SC009,Subcomponent SC009,subcomponent,CP010,5,6,31134,Supplier_005,38,3,26,Distributor_004,Sea Freight,8825,3,2016-06-08 01:36:55
SC002,Subcomponent SC002,subcomponent,CP016,5,14,46387,Supplier_005,27,3,46,Distributor_002,Air Freight,6034,19,2020-03-09 20:21:23
CP005,Component CP005,component,SS008,5,17,63976,Supplier_039,25,1,65,Distributor_013,Air Freight,4058,17,2019-08-09 10:17:59
SC008,Subcomponent SC008,subcomponent,CP007,5,7,32996,Supplier_022,29,4,20,Distributor_001,Rail,7390,9,2012-01-02 15:34:10
RM005,Raw_material RM005,raw_material,CP007,1,3,5138,Supplier_013,51,3,19,Distributor_010,Air Freight,8686,3,2017-10-31 08:03:48
SC010,Subcomponent SC010,subcomponent,CP005,3,8,15201,Supplier_011,53,4,32,Distributor_012,Air Freight,3803,11,2016-09-10 13:55:48
RM014,Raw_material RM014,raw_material,CP005,5,1,3696,Supplier_020,67,5,36,Distributor_001,Air Freight,7300,20,2015-08-13 11:40:52
CP010,Component CP010,component,SS004,5,17,259688,Supplier_002,15,2,45,Distributor_004,Sea Freight,7905,17,2014-06-20 13:40:37
SC019,Subcomponent SC019,subcomponent,CP010,4,11,47960,Supplier_028,25,3,8,Distributor_013,Rail,5879,14,2019-01-17 09:52:11
SS015,Subsystem SS015,subsystem,SY016,1,79,1119890,Supplier_044,6,3,1,Distributor_002,Air Freight,1913,4,2018-05-27 20:48:11
CP002,Component CP002,component,SS009,1,19,106194,Supplier_043,15,1,19,Distributor_012,Truck,1750,4,2018-06-22 12:18:38
SC013,Subcomponent SC013,subcomponent,CP019,5,20,23304,Supplier_018,21,5,41,Distributor_006,Sea Freight,4698,14,2015-09-09 21:34:11
SC002,Subcomponent SC002,subcomponent,CP002,4,8,34288,Supplier_041,33,1,68,Distributor_001,Truck,4045,5,2014-12-04 09:54:03
RM019,Raw_material RM019,raw_material,CP002,2,7,1022,Supplier_011,72,1,57,Distributor_002,Sea Freight,2662,21,2013-03-19 04:34:20
CP013,Component CP013,component,SS015,3,27,213953,Supplier_031,24,2,27,Distributor_013,Truck,4062,14,2012-12-31 11:45:31
SC016,Subcomponent SC016,subcomponent,CP013,4,8,47264,Supplier_021,32,2,58,Distributor_007,Rail,5143,26,2013-02-21 04:18:19
SY019,System SY019,system,FP004,4,115,3579898,Supplier_043,3,1,66,Distributor_002,Rail,3269,1,2011-06-07 09:27:33
SS011,Subsystem SS011,subsystem,SY018,2,61,848180,Supplier_034,10,2,31,Distributor_011,Sea Freight,5364,20,2021-08-16 01:26:36
CP005,Component CP005,component,SS005,3,28,326958,Supplier_042,31,5,0,Distributor_011,Sea Freight,2368,14,2021-10-01 17:38:14
RM001,Raw_material RM001,raw_material,CP003,1,5,1604,Supplier_042,95,5,38,Distributor_009,Air Freight,6444,11,2021-05-12 16:16:19
SC003,Subcomponent SC003,subcomponent,CP006,1,17,6825,Supplier_006,21,1,5,Distributor_002,Sea Freight,5702,18,2019-07-27 02:25:10
SC017,Subcomponent SC017,subcomponent,CP019,2,20,23240,Supplier_019,50,3,67,Distributor_012,Air Freight,4312,30,2017-06-10 14:09:31
RM017,Raw_material RM017,raw_material,CP019,2,8,2762,Supplier_028,98,5,7,Distributor_011,Rail,3854,13,2011-07-19 00:55:25
SC016,Subcomponent SC016,subcomponent,CP005,5,7,18879,Supplier_012,36,1,20,Distributor_009,Air Freight,2481,28,2015-07-17 07:50:39
CP007,Component CP007,component,SS011,2,26,443237,Supplier_012,22,3,42,Distributor_014,Truck,4575,9,2012-02-15 07:24:36
SC013,Subcomponent SC013,subcomponent,CP009,2,18,35028,Supplier_017,20,5,42,Distributor_002,Air Freight,2872,21,2011-07-23 17:58:47
RM003,Raw_material RM003,raw_material,CP009,4,5,4731,Supplier_017,106,5,10,Distributor_013,Air Freight,590,23,2014-10-22 13:43:01
SC008,Subcomponent SC008,subcomponent,CP007,4,15,48199,Supplier_016,39,2,8,Distributor_002,Rail,9949,20,2018-08-27 07:50:09
RM011,Raw_material RM011,raw_material,CP007,3,1,2468,Supplier_039,89,5,53,Distributor_003,Truck,7669,20,2013-09-27 12:59:50
CP014,Component CP014,component,SS001,2,31,75688,Supplier_003,15,4,9,Distributor_010,Air Freight,4998,17,2013-11-29 00:29:18
SC013,Subcomponent SC013,subcomponent,CP018,3,9,41557,Supplier_034,35,2,18,Distributor_001,Air Freight,2298,24,2012-09-08 18:05:31
SC009,Subcomponent SC009,subcomponent,CP014,1,11,57117,Supplier_036,33,5,52,Distributor_009,Truck,3774,11,2010-08-21 02:03:52
CP007,Component CP007,component,SS011,2,18,70245,Supplier_006,17,5,19,Distributor_010,Sea Freight,6089,2,2010-01-02 21:30:02
SC009,Subcomponent SC009,subcomponent,CP007,4,10,9206,Supplier_014,45,5,54,Distributor_002,Truck,8585,30,2017-08-07 20:35:29
SS019,Subsystem SS019,subsystem,SY016,1,80,1530136,Supplier_036,9,5,14,Distributor_004,Rail,3104,9,2014-08-07 05:45:26
CP020,Component CP020,component,SS016,2,43,268044,Supplier_033,17,1,22,Distributor_014,Air Freight,9193,2,2012-04-07 04:22:30
SC003,Subcomponent SC003,subcomponent,CP008,4,12,41832,Supplier_025,18,5,40,Distributor_009,Air Freight,7791,14,2017-11-18 02:10:35
RM013,Raw_material RM013,raw_material,CP008,3,4,3089,Supplier_022,101,5,68,Distributor_003,Sea Freight,9739,24,2016-09-26 15:04:56
SC004,Subcomponent SC004,subcomponent,CP020,2,8,25013,Supplier_036,37,5,51,Distributor_008,Sea Freight,9881,18,2015-08-25 19:55:50
RM010,Raw_material RM010,raw_material,CP020,1,9,2897,Supplier_030,88,1,26,Distributor_001,Rail,5733,26,2014-08-30 15:14:44
CP012,Component CP012,component,SS004,5,37,197365,Supplier_029,21,4,58,Distributor_014,Air Freight,8984,18,2018-06-02 12:19:53
SC017,Subcomponent SC017,subcomponent,CP017,3,17,19629,Supplier_007,32,4,0,Distributor_013,Truck,1291,6,2021-04-05 01:23:03
SC020,Subcomponent SC020,subcomponent,CP012,5,6,33235,Supplier_016,26,4,28,Distributor_014,Truck,1764,5,2013-01-07 13:23:52
CP001,Component CP001,component,SS019,3,28,130830,Supplier_035,35,3,33,Distributor_007,Air Freight,7665,19,2013-06-11 04:03:00
SC013,Subcomponent SC013,subcomponent,CP001,4,16,28370,Supplier_007,41,4,2,Distributor_008,Truck,6711,22,2020-12-15 18:42:08
SS015,Subsystem SS015,subsystem,SY005,5,80,1311449,Supplier_035,9,1,12,Distributor_011,Sea Freight,6205,30,2019-08-29 02:25:16
CP020,Component CP020,component,SS011,1,34,341978,Supplier_026,28,2,51,Distributor_001,Air Freight,7812,11,2017-01-20 19:27:01
SC011,Subcomponent SC011,subcomponent,CP013,4,15,12889,Supplier_018,28,2,7,Distributor_003,Truck,7832,19,2019-05-11 12:23:18
RM012,Raw_material RM012,raw_material,CP013,2,7,5017,Supplier_023,82,4,39,Distributor_002,Rail,5567,3,2010-02-18 23:15:42
SC017,Subcomponent SC017,subcomponent,CP020,5,7,9105,Supplier_002,38,2,62,Distributor_007,Rail,8501,2,2021-06-02 18:22:23
CP014,Component CP014,component,SS015,3,39,122803,Supplier_011,31,1,44,Distributor_003,Air Freight,2333,23,2012-02-10 08:26:51
SC017,Subcomponent SC017,subcomponent,CP014,4,14,36335,Supplier_017,45,3,2,Distributor_005,Air Freight,5773,16,2017-10-14 00:54:24
SS002,Subsystem SS002,subsystem,SY019,1,49,1853915,Supplier_026,10,1,50,Distributor_006,Truck,3539,4,2013-03-17 01:06:46
CP001,Component CP001,component,SS002,5,45,385278,Supplier_033,14,2,66,Distributor_011,Sea Freight,8541,7,2012-10-16 05:28:42
SC020,Subcomponent SC020,subcomponent,CP001,2,17,36229,Supplier_022,31,5,29,Distributor_011,Truck,7538,27,2020-10-29 14:11:45
RM012,Raw_material RM012,raw_material,CP001,5,1,1111,Supplier_029,100,4,4,Distributor_007,Rail,1565,18,2019-07-06 14:18:48
SS013,Subsystem SS013,subsystem,SY010,2,36,1555713,Supplier_021,11,5,17,Distributor_012,Truck,7812,14,2016-12-13 16:48:04
CP005,Component CP005,component,SS002,2,32,420979,Supplier_032,12,1,30,Distributor_006,Rail,6758,24,2017-02-02 04:46:48
SC017,Subcomponent SC017,subcomponent,CP018,3,16,57726,Supplier_042,34,1,54,Distributor_003,Sea Freight,1731,19,2019-11-25 21:57:40
RM010,Raw_material RM010,raw_material,CP018,3,8,4081,Supplier_022,58,5,39,Distributor_003,Rail,8965,12,2013-05-25 06:11:40
SC015,Subcomponent SC015,subcomponent,CP014,3,18,46000,Supplier_008,25,2,22,Distributor_011,Air Freight,4205,18,2010-06-22 20:28:12
SC006,Subcomponent SC006,subcomponent,CP002,5,13,33934,Supplier_019,44,5,54,Distributor_011,Sea Freight,2559,15,2018-06-01 02:37:25
SC003,Subcomponent SC003,subcomponent,CP010,3,15,18035,Supplier_018,16,2,63,Distributor_002,Sea Freight,4087,25,2021-11-11 07:19:37
SC003,Subcomponent SC003,subcomponent,CP005,4,8,18390,Supplier_025,23,2,64,Distributor_004,Sea Freight,6337,20,2011-05-11 05:04:01
RM014,Raw_material RM014,raw_material,CP005,2,10,1475,Supplier_024,85,5,14,Distributor_013,Sea Freight,8305,6,2021-12-09 22:44:49
CP013,Component CP013,component,SS007,2,20,338655,Supplier_031,9,5,4,Distributor_011,Air Freight,1576,5,2014-06-15 20:11:35
SC014,Subcomponent SC014,subcomponent,CP020,1,15,27898,Supplier_011,20,3,55,Distributor_011,Sea Freight,7221,2,2020-04-07 17:51:31
RM011,Raw_material RM011,raw_material,CP020,4,7,1365,Supplier_038,66,2,42,Distributor_007,Rail,7350,29,2020-09-02 10:10:49
SC001,Subcomponent SC001,subcomponent,CP009,2,13,45165,Supplier_035,29,4,57,Distributor_009,Sea Freight,1823,8,2010-02-05 21:14:57
SC008,Subcomponent SC008,subcomponent,CP018,2,12,41112,Supplier_019,25,3,67,Distributor_003,Sea Freight,9032,19,2020-11-16 19:52:21
SC001,Subcomponent SC001,subcomponent,CP013,4,16,40948,Supplier_025,35,2,11,Distributor_012,Air Freight,6587,26,2013-05-12 12:54:28
CP002,Component CP002,component,SS018,4,25,247128,Supplier_039,11,5,29,Distributor_007,Sea Freight,8011,20,2020-09-03 19:36:31
SC017,Subcomponent SC017,subcomponent,CP003,5,13,34469,Supplier_027,27,3,72,Distributor_006,Truck,3699,5,2011-05-30 05:37:37
SC020,Subcomponent SC020,subcomponent,CP012,4,18,29076,Supplier_015,33,1,28,Distributor_007,Truck,428,11,2015-06-06 17:13:32
SC005,Subcomponent SC005,subcomponent,CP002,5,18,52761,Supplier_021,37,3,8,Distributor_013,Sea Freight,7802,20,2020-05-22 04:06:35
CP020,Component CP020,component,SS012,4,31,147796,Supplier_001,19,3,60,Distributor_008,Air Freight,379,24,2010-08-05 22:32:17
SC001,Subcomponent SC001,subcomponent,CP018,3,11,28542,Supplier_041,29,3,32,Distributor_004,Rail,2042,5,2014-04-18 12:06:18
RM019,Raw_material RM019,raw_material,CP018,4,7,636,Supplier_030,84,1,4,Distributor_013,Air Freight,2457,30,2012-01-21 05:18:24
SC005,Subcomponent SC005,subcomponent,CP020,4,11,24472,Supplier_017,23,2,55,Distributor_008,Sea Freight,2500,9,2014-08-02 11:35:21
CP013,Component CP013,component,SS013,1,16,307273,Supplier_037,13,5,42,Distributor_013,Truck,220,17,2017-03-18 11:45:58
SC013,Subcomponent SC013,subcomponent,CP013,1,9,8199,Supplier_022,37,2,49,Distributor_008,Air Freight,2339,13,2013-11-15 04:27:39
CP013,Component CP013,component,SS003,4,27,259478,Supplier_036,25,5,9,Distributor_003,Rail,4124,24,2019-02-03 15:17:11
RM015,Raw_material RM015,raw_material,CP003,2,1,3680,Supplier_006,53,3,56,Distributor_003,Sea Freight,1080,27,2016-05-23 04:01:29
SC011,Subcomponent SC011,subcomponent,CP016,2,15,10357,Supplier_013,47,1,66,Distributor_013,Rail,518,20,2018-11-16 02:46:36
SC019,Subcomponent SC019,subcomponent,CP013,4,13,21788,Supplier_041,25,3,41,Distributor_013,Sea Freight,4014,15,2020-11-21 00:03:44
CP015,Component CP015,component,SS004,3,31,483193,Supplier_022,15,3,47,Distributor_007,Sea Freight,4349,9,2011-10-19 06:34:35
SC018,Subcomponent SC018,subcomponent,CP005,5,14,41271,Supplier_039,40,3,66,Distributor_010,Sea Freight,3405,26,2013-01-28 18:42:10
SC018,Subcomponent SC018,subcomponent,CP020,3,16,39928,Supplier_027,35,1,67,Distributor_009,Air Freight,356,15,2012-06-08 17:01:20
SC008,Subcomponent SC008,subcomponent,CP015,1,17,44572,Supplier_018,56,1,26,Distributor_003,Truck,2690,13,2017-02-27 23:27:59
RM019,Raw_material RM019,raw_material,CP015,2,3,2574,Supplier_009,74,5,2,Distributor_005,Rail,3226,15,2021-11-15 08:18:00
CP017,Component CP017,component,SS005,1,15,170034,Supplier_023,29,3,33,Distributor_004,Sea Freight,5982,15,2019-02-26 14:28:14
SC015,Subcomponent SC015,subcomponent,CP003,3,8,8943,Supplier_026,17,1,40,Distributor_004,Air Freight,480,25,2011-01-12 20:25:54
RM015,Raw_material RM015,raw_material,CP003,2,3,1252,Supplier_029,77,5,31,Distributor_002,Truck,2018,5,2014-03-11 07:26:06
SC012,Subcomponent SC012,subcomponent,CP017,1,10,53567,Supplier_004,36,3,39,Distributor_014,Air Freight,1412,4,2018-02-21 11:12:35
SS013,Subsystem SS013,subsystem,SY016,4,79,785099,Supplier_039,11,4,14,Distributor_009,Air Freight,6917,14,2011-02-07 17:58:51
CP019,Component CP019,component,SS006,2,21,78985,Supplier_011,20,1,21,Distributor_006,Sea Freight,4632,11,2015-11-22 16:14:47
SC019,Subcomponent SC019,subcomponent,CP010,2,14,22153,Supplier_007,20,2,32,Distributor_003,Truck,4736,15,2011-02-05 07:43:33
SC005,Subcomponent SC005,subcomponent,CP019,5,10,20723,Supplier_019,38,3,51,Distributor_011,Truck,5586,22,2017-03-02 12:51:31
CP019,Component CP019,component,SS018,3,23,246967,Supplier_019,28,2,13,Distributor_014,Sea Freight,2551,23,2017-10-03 05:43:52
SC004,Subcomponent SC004,subcomponent,CP018,5,9,17504,Supplier_013,23,3,66,Distributor_008,Rail,7224,13,2010-06-17 07:31:45
SC011,Subcomponent SC011,subcomponent,CP019,3,17,18026,Supplier_036,37,3,17,Distributor_014,Rail,2983,19,2011-07-17 20:31:54
CP014,Component CP014,component,SS013,1,44,261032,Supplier_032,15,1,22,Distributor_007,Sea Freight,6137,3,2014-07-21 03:56:38
SC018,Subcomponent SC018,subcomponent,CP014,3,12,24522,Supplier_041,36,3,18,Distributor_011,Truck,2702,18,2016-05-20 16:06:01
SS014,Subsystem SS014,subsystem,SY015,2,62,2324255,Supplier_020,7,1,13,Distributor_001,Truck,7517,29,2016-06-27 07:48:45
CP010,Component CP010,component,SS014,1,43,309035,Supplier_017,21,4,15,Distributor_006,Rail,8944,10,2018-12-05 10:47:20
SC007,Subcomponent SC007,subcomponent,CP017,3,9,27313,Supplier_039,39,3,71,Distributor_008,Sea Freight,2001,24,2015-07-11 19:37:31
SC005,Subcomponent SC005,subcomponent,CP010,4,7,17212,Supplier_010,24,3,38,Distributor_006,Truck,1725,27,2017-05-21 12:00:20
CP011,Component CP011,component,SS014,5,38,443776,Supplier_043,17,1,8,Distributor_011,Rail,3169,30,2016-07-12 10:42:01
SC001,Subcomponent SC001,subcomponent,CP011,3,15,17276,Supplier_003,39,3,9,Distributor_007,Rail,3761,19,2010-11-06 07:26:53
CP005,Component CP005,component,SS020,3,23,187319,Supplier_041,17,5,7,Distributor_002,Sea Freight,8506,13,2018-09-09 13:04:40
SC007,Subcomponent SC007,subcomponent,CP002,2,21,18681,Supplier_014,36,1,38,Distributor_012,Truck,2203,6,2013-09-04 01:36:40
RM006,Raw_material RM006,raw_material,CP002,2,9,1611,Supplier_037,83,4,70,Distributor_005,Rail,228,8,2014-12-04 06:44:46
SC001,Subcomponent SC001,subcomponent,CP017,4,7,10850,Supplier_020,27,4,16,Distributor_007,Air Freight,4188,12,2013-12-22 11:39:21
SC013,Subcomponent SC013,subcomponent,CP005,3,5,17311,Supplier_012,48,4,41,Distributor_009,Sea Freight,1165,12,2020-10-01 09:33:13
RM009,Raw_material RM009,raw_material,CP005,3,1,2568,Supplier_012,79,5,26,Distributor_007,Rail,5803,16,2010-07-13 04:30:57
CP014,Component CP014,component,SS014,5,35,175373,Supplier_032,19,2,33,Distributor_009,Truck,6737,24,2013-05-04 11:34:37
SC006,Subcomponent SC006,subcomponent,CP010,4,16,7565,Supplier_010,26,3,33,Distributor_012,Air Freight,4602,16,2011-10-27 02:36:44
RM019,Raw_material RM019,raw_material,CP010,1,4,1271,Supplier_021,80,4,15,Distributor_005,Sea Freight,9402,24,2019-05-06 02:05:37
RM006,Raw_material RM006,raw_material,CP005,1,8,1053,Supplier_014,72,1,44,Distributor_011,Rail,9074,2,2019-10-13 13:15:06
SC003,Subcomponent SC003,subcomponent,CP012,5,18,40288,Supplier_014,48,5,59,Distributor_006,Sea Freight,3035,1,2018-06-02 23:47:17
SC010,Subcomponent SC010,subcomponent,CP014,3,10,16831,Supplier_020,38,3,12,Distributor_006,Sea Freight,8526,4,2020-01-04 15:59:30
RM010,Raw_material RM010,raw_material,CP014,1,5,1509,Supplier_026,51,4,13,Distributor_011,Rail,5078,13,2013-10-06 04:55:34
CP007,Component CP007,component,SS020,1,33,148832,Supplier_007,29,2,70,Distributor_011,Sea Freight,4342,21,2020-08-07 23:52:08
SC012,Subcomponent SC012,subcomponent,CP014,4,17,30411,Supplier_032,43,3,59,Distributor_004,Rail,5304,28,2015-04-17 23:27:04
SC013,Subcomponent SC013,subcomponent,CP013,3,11,26187,Supplier_025,61,1,50,Distributor_010,Truck,4949,9,2010-06-23 08:30:46
SC008,Subcomponent SC008,subcomponent,CP007,1,13,23274,Supplier_012,38,1,19,Distributor_004,Air Freight,9174,22,2016-10-19 15:41:26
CP016,Component CP016,component,SS018,2,48,59654,Supplier_008,13,4,26,Distributor_004,Sea Freight,9713,27,2017-02-28 16:34:06
SC016,Subcomponent SC016,subcomponent,CP012,1,10,31607,Supplier_035,25,5,35,Distributor_007,Air Freight,9255,24,2014-08-11 23:12:20
SC017,Subcomponent SC017,subcomponent,CP016,2,11,27548,Supplier_019,19,2,66,Distributor_006,Truck,7385,2,2019-01-20 00:32:11
SS010,Subsystem SS010,subsystem,SY016,3,60,1012370,Supplier_019,10,3,26,Distributor_002,Sea Freight,7094,10,2011-04-15 19:28:28
CP019,Component CP019,component,SS020,2,40,85466,Supplier_039,15,5,35,Distributor_009,Rail,4355,17,2013-11-30 20:25:44
SC014,Subcomponent SC014,subcomponent,CP013,1,17,35563,Supplier_004,31,4,9,Distributor_002,Air Freight,7711,2,2016-04-22 04:40:08
